user_id,time_install,event_name,time_event
4c6065c9466bc68e324e316edfb0227ff7cccc6c,43892.9781365741,purchase,43892.9838078704
f3049eac4788ffd4482390f8333d7e1adbf4c5a1,43896.2203703704,signup,43896.2207986111
f3049eac4788ffd4482390f8333d7e1adbf4c5a1,43896.2203703704,purchase,43896.2218865741
9c1e35e89a374207409ad05da6d69d43f427c5f2,43896.7880555556,reopen,43896.1077083333
723fba1295b9a7c8321bbc433f87629b90660582,43892.0000462963,reopen,43893.5774884259
723fba1295b9a7c8321bbc433f87629b90660582,43892.0000462963,signup,43892.0025231481
97963ab19ae86316d639e3a181a156c6c9dd5be0,43892.9100231481,purchase,43893.0026157407
97963ab19ae86316d639e3a181a156c6c9dd5be0,43892.9100231481,signup,43892.9137152778
97963ab19ae86316d639e3a181a156c6c9dd5be0,43892.9100231481,purchase,43892.9711689815
3f299029526b58c482521f7ad6fa907eca31063b,43894.1943287037,purchase,43894.1980671296
3f299029526b58c482521f7ad6fa907eca31063b,43894.1943287037,signup,43894.1958217593
beb53bcce2dbb0ea402576d854ada211ee685a51,43893.2208333333,reopen,43894.2377546296
108c548979fcaaa7855e06c40d6597849b615938,43896.0421643518,purchase,43896.0502314815
13815cc4bc3a72cc76acac7213e6a99c41cb14eb,43896.8253703704,signup,43896.8273148148
13815cc4bc3a72cc76acac7213e6a99c41cb14eb,43896.8253703704,purchase,43896.8303009259
13815cc4bc3a72cc76acac7213e6a99c41cb14eb,43896.8253703704,purchase,43896.8294560185
9f39bc0bd601990345b4d8bcdaa92094c9cd47d6,43895.8946759259,signup,43895.8967824074
ecdf7b865aaba7cd614ba1da2494c717c9b9b9cc,43896.8587037037,signup,43896.8640856482
f3138d9e584f635a09fe452acc48457711e9a800,43892.2348958333,purchase,43892.2400347222
f3138d9e584f635a09fe452acc48457711e9a800,43892.2348958333,purchase,43896.9619791667
f3138d9e584f635a09fe452acc48457711e9a800,43892.2348958333,reopen,43896.9615393519
f3138d9e584f635a09fe452acc48457711e9a800,43892.2348958333,purchase,43892.2434375
f3138d9e584f635a09fe452acc48457711e9a800,43892.2348958333,signup,43892.2370023148
02cca3902fee34445572b25031fec08e8322591b,43892.7196296296,reopen,43894.0631134259
b0e3e0922f1b275eb0d0aaa612488525a2edf4f4,43893.7464814815,signup,43893.7484606481
b0e3e0922f1b275eb0d0aaa612488525a2edf4f4,43893.7464814815,reopen,43895.7496064815
0d3d7fac98fe1271c7e34e0e5ff3df3858653e80,43891.0114583333,signup,43891.0148842593
562c3d5fdd36eb8d1a7472604d2ca2f25c187298,43894.0498148148,purchase,43894.0601273148
562c3d5fdd36eb8d1a7472604d2ca2f25c187298,43894.0498148148,signup,43894.0565277778
4233dadc5a7f77febc87a7dc12ef1b80abfe9dc3,43892.8613194444,signup,43892.8633217593
4233dadc5a7f77febc87a7dc12ef1b80abfe9dc3,43892.8613194444,reopen,43894.5668055556
4233dadc5a7f77febc87a7dc12ef1b80abfe9dc3,43892.8613194444,purchase,43892.8680902778
b16ce20a915800269f28c6adb8af16834fe7298b,43891.8087731482,signup,43891.8128935185
969bfa83852bfd7cc960fa36ad332b97f53ff917,43894.7731944444,purchase,43894.7857291667
969bfa83852bfd7cc960fa36ad332b97f53ff917,43894.7731944444,purchase,43894.7879976852
969bfa83852bfd7cc960fa36ad332b97f53ff917,43894.7731944444,purchase,43894.7807638889
969bfa83852bfd7cc960fa36ad332b97f53ff917,43894.7731944444,purchase,43894.7779282407
63bce2a348903f9a449e24a386df9ebc2b0f5dea,43894.9209027778,purchase,43895.5539699074
63bce2a348903f9a449e24a386df9ebc2b0f5dea,43894.9209027778,reopen,43896.549525463
63bce2a348903f9a449e24a386df9ebc2b0f5dea,43894.9209027778,purchase,43895.0929166667
ebcc2b0048f9d12d6144dc68f243faabe475482d,43896.2264351852,purchase,43896.3459259259
dd8b83c367c34710afcdcab8941fae96699d7f23,43896.7297106481,signup,43896.734525463
dd8b83c367c34710afcdcab8941fae96699d7f23,43896.7297106481,purchase,43896.7354282407
a96f9f133a5e7847932b355e1cb395796c15be1c,43893.1195486111,purchase,43893.1398032407
a96f9f133a5e7847932b355e1cb395796c15be1c,43893.1195486111,purchase,43893.1386111111
61544c21f08a386c2c8b72d0341aa591fc420bd9,43894.930775463,signup,43894.9345717593
61544c21f08a386c2c8b72d0341aa591fc420bd9,43894.930775463,reopen,43896.9047222222
ff489459f8d6fc16e537985456ef73c6e832c53e,43896.8510069444,signup,43896.8532986111
9792f53a3a6bc5e0fb6612344307c7cd6f14bd76,43891.9727314815,purchase,43891.9793171296
9792f53a3a6bc5e0fb6612344307c7cd6f14bd76,43891.9727314815,reopen,43895.7497916667
9792f53a3a6bc5e0fb6612344307c7cd6f14bd76,43891.9727314815,signup,43891.9752199074
127575129ba637c4827888ef4cdc4c8a4b4a5671,43895.1355902778,signup,43895.1373958333
d8dec113305aae5d193a5c4809bbd88159dd9b6a,43892.5149537037,reopen,43893.6374189815
f8bf07dc53cb6208410979c0d765a81c34241b56,43895.8148958333,signup,43895.8177314815
1effac1b93ffaa520bc7d8eff5d82954395f21d8,43896.9495486111,purchase,43896.9506018519
8b5363a7cbc26c18c05faeb73b0ec49ed447b1eb,43892.5551388889,reopen,43893.5584027778
f99a5a14bb90333e418dadf91d30ba3f561ae76b,43893.9902199074,signup,43893.9923032407
69fd1cbfdc74066f2f11497950b9799a622de6a1,43891.0686921296,reopen,43893.5731481481
25d4332362083405cde1fd00360057ed5e612a96,43893.6686921296,signup,43893.6742361111
317b04dc62e419e53959aea28fe6ad4f4d0d03b3,43891.7131828704,signup,43891.7151967593
317b04dc62e419e53959aea28fe6ad4f4d0d03b3,43891.7131828704,reopen,43894.6609375
317b04dc62e419e53959aea28fe6ad4f4d0d03b3,43891.7131828704,reopen,43895.9912268519
f61ee84a3454d45be49e868effc07ff21285fd00,43895.2613773148,signup,43895.2636342593
3d453a7fa5fc1426afc1a19f0a434c344ac57b5e,43896.8439583333,signup,43896.8464930556
02c25f827b72165d900958240edc3648eec36e12,43892.4945486111,signup,43892.4971296296
8988c817ecf158f705228c5452e018fd30c1e710,43893.6267013889,purchase,43893.630150463
d5dc8ae8a2da4b5cb2b9e31ee1383aaf3f3936c0,43893.2878472222,signup,43893.2902430556
d2edcb2005ccfac8f0244149405577a04c32bd68,43892.7349189815,reopen,43896.7819560185
379e3cf7ac92be4fd0b80e9a23bdac61a75ebbf6,43894.0567708333,signup,43894.058912037
